Author,Date,Tweet
CricketKeeda,Wed May 03 19:09:21 +0000 2017,"IPL 2017, KKR vs RPS: 5 things that went wrong for KKR against RPS https://t.co/jSJ2bPSNLc #cricket"
advocateamit85,Wed May 03 19:15:04 +0000 2017,"RT @SirJadeja: #RPS Beat #KKR By 4 Wickets.

Man Of the Match-Ashoke Dinda For OUT-standing Performance Yet Again🙏🏾
#RPSvKKR… "
CricketKeeda,Wed May 03 19:09:23 +0000 2017,Tripathi slays KKR to keep Pune on course for play-offs https://t.co/QnHTV5AwyP #cricket
veooz,Wed May 03 19:15:19 +0000 2017,Blazing Tripathi smashes KKR into submission via @veooz https://t.co/T4zsvlJO7c
BSSPORT2017,Wed May 03 19:15:37 +0000 2017,"Vivo IPL 10
Today 
Match 41
RPS Vs KKR 
At Kolkuta 

RPS  toss 
Kkr 155/8

RPS 158/6
Over 19.2
Dhoni 5
Tripathi 93-53b

Crischen 9*

RPS..."
CricketKeeda,Wed May 03 19:09:21 +0000 2017,"IPL 2017, KKR vs RPS: Rahul Tripathi's hat-trick of sixes against Kuldeep Yadav is… https://t.co/66G0t13hS0 #cricket"
abhi2194,Wed May 03 19:14:52 +0000 2017,#RPSvKKR Playing against KKR nd getting standing ovation by 59000 ppl at Eden tht means u hv playd expectionally gud cricket #RahulTripathi
iamkzafar,Wed May 03 19:15:04 +0000 2017,Wot a class act #Tripathi well played @RPSupergiants Ami KKR I am coming…we always come back. Rest a bit it’s been a tough day boys.Lov u al
AkashBa77577771,Wed May 03 19:09:35 +0000 2017,"প্রবল ঝড়ের আগে সব শান্ত হয়ে যায়।।
আর কিছু বলার দরকার নেই।।।

#আমি #KKR"
Kitkat_Sagar,Wed May 03 19:14:53 +0000 2017,RT @BrokenCricket: Even KKR fans would enjoy this Rahul Tripathi innings though its against their team...
TendulkarAnand,Wed May 03 19:15:00 +0000 2017,RT @mipaltan: Rahul Tripathi's superb 9⃣3⃣ gives RPS a comfortable win against KKR! #KKRvRPS #CricketMeriJaan
CricketKeeda,Wed May 03 19:09:22 +0000 2017,5 memorable moments from the KKR vs RPS match that don’t fade away https://t.co/VP0tQAm8IM #cricket
Mdgouse2,Wed May 03 19:15:06 +0000 2017,"RT @bhogleharsha: The fans packed Eden Gardens, they were rooting for #KKR. Then @msdhoni walked in. And team loyalties melted."
sarcastic_kavi,Wed May 03 19:09:22 +0000 2017,"RT @SirJadeja: #RPS Beat #KKR By 4 Wickets.

Man Of the Match-Ashoke Dinda For OUT-standing Performance Yet Again🙏🏾
#RPSvKKR… "
Razzak_SRKian,Wed May 03 19:15:32 +0000 2017,"RT @GautamGambhir: ""KKR bowling wasn't as bad as Warner made it look. He cut, pulled, switch-hit, slog-swept, drove and hoisted us.""

https…"
