Author,Date,Tweet
berleighluxury,Wed May 03 09:39:29 +0000 2017,"RT @LuxuryNxt: Heel &amp; Buckle launches it’s prêt label, Berleigh’s first store in India https://t.co/7h0Rn4HTPG
#india #mumbai #fashion"
agk4444,Wed May 03 09:38:07 +0000 2017,"#HP #unveils #nextgen #A3 #multifunction #printers in #India
 #facebook #socialnews... https://t.co/FqYaxnXCXm"
MertMehmet15,Wed May 03 09:40:18 +0000 2017,RT @TurkiyeBurslari: #CumhurbaşkanıErdoğan: #Hindistan'da #TürkiyeBursları'na olan ilgi katlanarak artıyor. #PresidentErdogan #India… 
JohnReedz,Wed May 03 09:40:14 +0000 2017,IPS officer reinstatement: ‘Decision after examining Supreme Court order’ https://t.co/DmcTBjmrnf #News (via @IBNMoney_com #India)
CRInvestments,Wed May 03 09:40:38 +0000 2017,Markets are still drab! No positional entry for me yet! #niftyfutures #nseindia #trader #India #consolidation #stocks
W_ELBALAD,Wed May 03 09:41:27 +0000 2017,The latest The WeladELbalad Daily! https://t.co/95vxt153o5 Thanks to @MastercardMEA @jnjcasper @waelabbas #egypt #india
ShambhaviJha,Wed May 03 09:40:43 +0000 2017,Wondering if anyone in #India ever gets to see a doctor at the appointed time. @ManipalHealth
BourseetTrading,Wed May 03 09:41:46 +0000 2017,"RT @BourseetTrading: #India to see #regulations for #fintech space soon: @KPMG report
#banking #finserv #startups #digital… "
AshishCawnpore,Wed May 03 09:41:55 +0000 2017,#India beat #Japan 4-3 in their fourth game of the #SultanAzlanShahCup  2017
Indian_Biz,Wed May 03 05:52:57 +0000 2017,"Bajaj Auto motorcycle sales at 2,93,932 units in April https://t.co/47cN2yo7Y1 #india #indiabiz"
Indian_Biz,Wed May 03 05:52:58 +0000 2017,Infoscions have become very innovative: CEO Vishal Sikka https://t.co/SfzjLOBXHF #india #indiabiz
CarlosE2108,Wed May 03 06:05:16 +0000 2017,Google Maps gets a custom home screen for easier navigation across #India https://t.co/yU3v2K5xMH #TechnologyNews
socialnews_xyz,Wed May 03 09:38:12 +0000 2017,"#HP #unveils #nextgen #A3 #multifunction #printers in #India
 #facebook #socialnews... https://t.co/KbSHim2aar"
SankiSanyasi,Wed May 03 09:39:53 +0000 2017,RT @PTI_News: USD 770 billion #blackmoney entered #India in 2005-2014: Report.
msolution,Wed May 03 09:40:09 +0000 2017,Srinagar: One killed in grenade attack outside police station https://t.co/3JVimDNu8e #News (via @IBNMoney_com #India)
MertMehmet15,Wed May 03 09:41:01 +0000 2017,"RT @yurtdisiturkler: [#article] "" #Turkey - #India relations: Looking into some aspects of mutual interest"" | @DailySabah |… "
Indian_Biz,Wed May 03 05:52:56 +0000 2017,Gold trades near three-week low on higher risk appetite as U.S. Fed meets https://t.co/kHJxZApenK #india #indiabiz
Indian_Biz,Wed May 03 05:52:56 +0000 2017,"Forget RERA’s loopholes, this killer clause will ensure builders won’t fool you now https://t.co/zqVC2plG1S #india #indiabiz"
sanketdhende,Wed May 03 09:38:18 +0000 2017,RT @943RadioOne: a tribute for a special mother&amp;son @pattiemallette &amp; @justinbieber coming soon to #India https://t.co/Nzm1O8OwjB
ankitjaiswalbjp,Wed May 03 05:52:11 +0000 2017,"RT @inregistry: 420 Million to access #Internet on Mobile in #India by June : @ETTelecom  @IAMAIForum 
https://t.co/t6WuZEbsn8"
tarinipTOI,Wed May 03 05:52:01 +0000 2017,RT @prafful_sarda: Most of the private schools in #India also ask for the donation 1/3 @tarinipTOI #IAmNewIndia @PrakashJavdekar
id_mosaic,Wed May 03 09:38:36 +0000 2017,"RT @jeffdobbins5: Top 8 things to do in Jaipur, #India https://t.co/dzlmE6iYgy via @luxury__travel #Travel @InTourismNews https://t.co/qoSU…"
AppitySnacks,Wed May 03 05:51:51 +0000 2017,RT @24_7RT: Five mantras that today’s entrepreneurs should learn from traditional businesses https://t.co/Ug1AvGialU  #Startups #India
naveenaguru66,Wed May 03 05:52:08 +0000 2017,"RT @rameshlaus: (ESTIMATES) #Baahubali2 5 Days WW BO:

#India 

Nett - ₹ 440 Crs

Gross - ₹ 565 Crs

Overseas - ₹ 145 Crs

Total -… "
energyinfrapos1,Wed May 03 09:39:55 +0000 2017,#India to make local #steel mandatory in government #Infrastructure projects: Sources - https://t.co/I8ENoyEsxN… https://t.co/XZveSXTcNt
Kashmir4India,Wed May 03 09:38:39 +0000 2017,SC appoints Salman Khurshid as amicus curiae in triple talaq hearings https://t.co/QrE2FQ5Qn8 #kashmirtelegraph #india #salmankhurshid
JohnReedz,Wed May 03 09:40:06 +0000 2017,No place for discrimination in world: India’s envoy to UK https://t.co/eDVDhIY2I4 #News (via @IBNMoney_com #India)
itswakasahmad,Wed May 03 09:40:29 +0000 2017,"RT @KamranFcma_: Pellet penetrated eye of a Kashmiri protestor! @amnesty @UNHumanRights &amp; #india calls it 'non lethal' 
#Kashmir 

 https:/…"
LauraverziV,Wed May 03 09:40:36 +0000 2017,"RT @acs_italia: Antica Croce, oltre cento anni di storia, demolita. Nuova intimidazione del governo indiano! #India @AsiaNewsIT… "
MahtabNama,Wed May 03 05:52:22 +0000 2017,RT @AudreyTruschke: A picture of oneself in close proximity to what could be #beef can be dangerous and even illegal as #India backtrac… 
jurain_3gx,Wed May 03 09:38:26 +0000 2017,#UP provided ambulance for cows where a father had carried his dead son and walked coz there was no ambulance there #ProudMoment #india
AurijitAiyer,Wed May 03 05:52:12 +0000 2017,RT @Geetu_Moza: No country above $1 trillion #GDP is likely to grow as fast as #India in the next 5-6 years says Deutsche Bank👍… 
manislam,Wed May 03 05:53:42 +0000 2017,India offers us education. we offer them venom. Pakistan offers us terrorists. We offer them love. This is Banglade… https://t.co/YnSqOUFSf7
raghavan1314,Wed May 03 09:38:43 +0000 2017,"The current Trend of war like environment b/t #India &amp; #Pakistan,I afraid-May yield odd affects/damage on #CPEC's h… https://t.co/BlZY8qjdsm"
TNR_Gold,Wed May 03 09:40:18 +0000 2017,RT @ILCtsxv: #Lithium Race #EVs #India is going to replace all of its cars with #electric ones by 2030: https://t.co/qlByERzbe8 https://t.c…
newssenger,Wed May 03 05:52:41 +0000 2017,"RT @newssenger: #India #Pakistan #Relations #China #Must #Introspect #Mediation #Over #Kashmir
https://t.co/qWiraICN7E"
BrokerageRecos,Wed May 03 06:05:11 +0000 2017,Hold TVS Motors; target of Rs 532: Arihant Capital https://t.co/KIOwJEVa0R #stocks #tip #India
ETDefence,Wed May 03 05:53:17 +0000 2017,"Soldiers' #beheading 'dastardly and inhuman act': #India to #Pakistan 
https://t.co/5ZcTbF4vEE"
abdulsami,Wed May 03 09:40:08 +0000 2017,"Soldiers' mutilation inhuman act, invites unequivocal response: India's DGMO to Pak https://t.co/fD4Lh5V6gn #India #Pakistan"
abdulsami,Wed May 03 09:40:09 +0000 2017,"Pakistani, Indian military officials speak over hotline https://t.co/OJH25q91Pb #India #Pakistan"
bollywoodnews98,Wed May 03 09:39:17 +0000 2017,"#india AAP 'pacifies' Kumar Vishwas, suspends MLA Amanatullah from party https://t.co/wDO1jQVcwM https://t.co/3TuhdFtsVT"
TheCookBookOM,Wed May 03 09:39:55 +0000 2017,#Mango #Curry w/ #Jalapenos &amp; #WhiteBeans https://t.co/hR6sN9u3MK #localfood #farmersmarket #food #realfood #sxsw #india
hasan44mahmod,Wed May 03 06:05:01 +0000 2017,"RT @aliakbar1346ta: Iran big winner from region’s turmoil: Arab league head
https://t.co/YGxaferJiO
#usa #texas #india https://t.co/FICQ81R…"
VizagPrabhasFan,Wed May 03 05:52:14 +0000 2017,"RT @rameshlaus: (ESTIMATES) #Baahubali2 5 Days WW BO:

#India 

Nett - ₹ 440 Crs

Gross - ₹ 565 Crs

Overseas - ₹ 145 Crs

Total -… "
rebel_adithya,Wed May 03 05:53:23 +0000 2017,"RT @rameshlaus: (ESTIMATES) #Baahubali2 5 Days WW BO:

#India 

Nett - ₹ 440 Crs

Gross - ₹ 565 Crs

Overseas - ₹ 145 Crs

Total -… "
